City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Mount Gambier,AU,2022-05-21 03:00:53,-37.8333,140.7667,59.58,48,5,5.95
274,Constitucion,CL,2022-05-21 03:00:54,-35.3333,-72.4167,51.08,85,2,7.78
275,Ulladulla,AU,2022-05-21 03:00:54,-35.35,150.4667,63.77,56,84,8.84
276,Golkoy,TR,2022-05-21 03:00:55,40.6875,37.6178,41.47,65,0,6.4
277,Airai,TL,2022-05-21 03:00:55,-8.9266,125.4092,74.7,48,74,5.84
278,Egvekinot,RU,2022-05-21 03:00:56,66.3167,-179.1667,46.18,55,26,3.89
279,Xingcheng,CN,2022-05-21 03:00:56,40.6167,120.7167,77.68,42,10,8.01
280,Belaya Gora,RU,2022-05-21 03:00:57,68.5333,146.4167,52.77,49,100,7.27
281,Vostok,RU,2022-05-21 03:00:57,46.4856,135.8833,70.68,38,89,8.86
282,Penukonda,IN,2022-05-21 02:58:16,14.0833,77.5833,74.97,64,100,20.09
283,Saldanha,ZA,2022-05-21 03:00:58,-33.0117,17.9442,57.49,77,13,9.33
284,Vila Do Maio,CV,2022-05-21 03:00:59,15.1333,-23.2167,71.08,85,73,13.47
285,Marsh Harbour,BS,2022-05-21 03:00:59,26.5412,-77.0636,79.97,81,100,10.98
286,Alice Springs,AU,2022-05-21 03:00:59,-23.7,133.8833,69.22,32,68,14.23
287,Simiti,CO,2022-05-21 03:01:00,7.9579,-73.9436,74.53,95,97,2.51
288,Ostrovnoy,RU,2022-05-21 03:01:01,68.0531,39.5131,32.58,65,99,6.89
289,Bulawayo,ZW,2022-05-21 02:59:37,-20.15,28.5833,58.1,72,85,6.73
290,Fagersta,SE,2022-05-21 03:01:02,60.0042,15.7932,42.98,93,100,4.0
291,Pekalongan,ID,2022-05-21 03:01:02,-6.8886,109.6753,81.19,77,100,2.33
292,Vao,NC,2022-05-21 03:01:03,-22.6667,167.4833,73.96,89,100,27.63
