City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Mahbubnagar,IN,16.7333,77.9833,83.79,54,3,16.78,clear sky
272,Diffa,NE,13.3154,12.6113,81.19,26,99,6.22,overcast clouds
273,Klaksvik,FO,62.2266,-6.589,47.32,89,100,12.88,overcast clouds
274,Wakkanai,JP,45.4094,141.6739,75.18,41,20,16.11,few clouds
275,Valparaiso,CL,-33.0393,-71.6273,58.48,77,0,2.3,clear sky
276,Whitehorse,CA,60.7161,-135.0538,63.37,26,20,12.66,few clouds
277,Marathon,US,44.9,-89.7668,53.13,63,100,9.22,overcast clouds
278,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,61.25,32,0,6.02,clear sky
279,Coro,VE,11.4045,-69.6734,77.27,82,2,14.76,clear sky
280,Pandan,PH,14.0453,124.1694,84.02,80,100,4.36,moderate rain
281,Inirida,CO,3.8653,-67.9239,71.24,99,100,2.57,overcast clouds
282,Alegrete,BR,-29.7831,-55.7919,50.85,84,76,2.68,broken clouds
283,San Cristobal,VE,7.7669,-72.225,71.78,84,21,3.0,few clouds
284,Broome,US,42.2506,-75.833,76.64,75,67,1.81,broken clouds
285,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,97,100,4.14,overcast clouds
286,San Carlos,VE,9.6612,-68.5827,77.29,68,53,2.1,broken clouds
287,Saldanha,ZA,-33.0117,17.9442,42.85,82,47,5.7,scattered clouds
288,Ambilobe,MG,-13.2,49.05,74.19,81,7,3.02,clear sky
289,Vao,NC,-22.6667,167.4833,73.99,86,73,25.05,broken clouds
290,Korla,CN,41.7597,86.1469,82.96,11,100,12.84,overcast clouds
291,High Prairie,CA,55.4334,-116.4858,44.26,54,16,2.53,few clouds
292,Qaqortoq,GL,60.7167,-46.0333,38.66,83,100,7.7,overcast clouds
293,Manga,BF,11.6636,-1.0731,78.89,68,91,9.62,overcast clouds
294,Batagay-Alyta,RU,67.8006,130.4114,38.91,76,82,1.68,broken clouds
295,Mahon,ES,39.8885,4.2658,64.96,94,0,8.05,clear sky
296,Kenai,US,60.5544,-151.2583,64.49,17,0,16.11,clear sky
297,Udachnyy,RU,66.4167,112.4,56.03,44,19,4.5,few clouds
298,Kimberley,ZA,-28.7323,24.7623,46.09,93,40,3.44,scattered clouds
299,Nelson Bay,AU,-32.7167,152.15,60.01,98,100,1.01,moderate rain
300,Nadym,RU,65.5333,72.5167,37.2,79,100,14.52,overcast clouds
301,Gao,ML,16.6362,1.637,81.88,37,64,0.92,broken clouds
302,Biloela,AU,-24.4167,150.5,66.24,80,100,14.54,overcast clouds
303,Kavieng,PG,-2.5744,150.7967,85.19,64,96,13.29,overcast clouds
304,General Pico,AR,-35.6566,-63.7568,48.61,47,54,8.37,broken clouds
305,Severo-Kurilsk,RU,50.6789,156.125,46.17,89,75,10.69,broken clouds
306,Lazaro Cardenas,MX,17.9583,-102.2,77.22,80,25,4.59,scattered clouds
307,Kataysk,RU,56.289,62.5841,38.57,91,100,14.36,overcast clouds
308,Ketchikan,US,55.3422,-131.6461,64.87,34,0,8.05,clear sky
309,Timizart,DZ,36.8,4.2667,70.2,43,7,6.85,clear sky
310,Bengkulu,ID,-3.8004,102.2655,84.2,66,49,5.23,scattered clouds
311,Marzuq,YE,14.4,46.4667,82.44,18,47,2.55,scattered clouds
312,Nikel,RU,69.4128,30.222,39.38,93,100,8.88,light rain
313,Panubigan,PH,7.4281,123.3466,82.85,71,85,5.37,overcast clouds
314,Orange Cove,US,36.6244,-119.3137,79.97,22,0,5.35,clear sky
315,Turbat,PK,26.0023,63.044,90.34,47,0,6.58,clear sky
316,Robe,AU,-37.1833,139.75,63.0,57,39,4.29,scattered clouds
317,Hammerfest,NO,70.6634,23.6821,41.45,75,20,2.3,few clouds
318,Huittinen,FI,61.1833,22.7,45.45,51,100,5.1,overcast clouds
319,Odweyne,SO,9.4092,45.064,75.31,59,100,13.76,overcast clouds
320,Tautira,PF,-17.7333,-149.15,79.7,72,24,10.87,few clouds
321,Tecolutilla,MX,18.2833,-93.3167,83.5,71,3,12.77,clear sky
322,Mareeba,AU,-17.0,145.4333,83.66,74,50,2.98,scattered clouds
323,Slave Lake,CA,55.2834,-114.769,53.58,50,0,4.61,clear sky
324,Hofn,IS,64.2539,-15.2082,46.6,84,100,16.62,overcast clouds
325,Lagoa,PT,39.05,-27.9833,62.01,95,100,2.71,overcast clouds
326,Dunedin,NZ,-45.8742,170.5036,50.81,62,99,5.99,overcast clouds
327,Khash,IR,28.2211,61.2158,77.32,21,0,6.6,clear sky
328,Elizabeth City,US,36.2946,-76.2511,77.02,84,0,6.91,clear sky
329,La Palma,US,33.8464,-118.0467,65.82,77,100,8.05,overcast clouds
330,Simplicio Mendes,BR,-7.8539,-41.9103,70.54,77,12,7.09,few clouds
331,Peniche,PT,39.3558,-9.3811,63.09,96,100,14.0,overcast clouds
332,Belaya Gora,RU,68.5333,146.4167,49.35,68,100,6.2,light rain
333,Cabedelo,BR,-6.9811,-34.8339,75.87,89,95,12.8,overcast clouds
334,Sarande,AL,39.8756,20.0053,64.83,70,12,1.59,few clouds
335,Debre Zeyit,ET,8.75,38.9833,60.13,28,68,2.64,broken clouds
336,Longyearbyen,SJ,78.2186,15.6401,35.44,75,75,8.05,broken clouds
337,Lodja,CD,-3.4833,23.4333,68.65,99,99,0.81,overcast clouds
338,North Bend,US,43.4065,-124.2243,51.85,91,100,14.97,overcast clouds
339,Baoro,CF,5.6667,15.9667,68.11,94,96,1.05,overcast clouds
340,Isangel,VU,-19.55,169.2667,82.51,78,75,11.5,broken clouds
341,Kruisfontein,ZA,-34.0033,24.7314,51.48,86,2,4.45,clear sky
342,Onega,RU,63.9061,38.1404,34.65,59,8,8.88,clear sky
343,Sipe Sipe,BO,-17.45,-66.3833,56.16,68,78,5.82,broken clouds
344,Lerik,AZ,38.7726,48.4128,49.64,54,0,1.5,clear sky
345,Humboldt,US,40.6665,-123.9178,44.13,97,49,2.86,scattered clouds
